Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,Latency_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
03:44:03.210,EVENT,TEST_START,Duration_ms=1800000,,,,,,,,,,,
03:44:26.904,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:44:47.403,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:45:09.607,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:45:31.767,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:45:39.164,DATA,0x0003,0x0003,1,1,12,-47,,,,,,,
03:45:41.290,DATA,0x0003,0x0003,2,1,18,-53,,,,,,,
03:45:43.386,DATA,0x0003,0x0003,3,1,21,-53,,,,,,,
03:45:45.472,DATA,0x0003,0x0003,4,1,16,-53,,,,,,,
03:45:47.568,DATA,0x0003,0x0003,5,1,21,-47,,,,,,,
03:45:49.594,DATA,0x0003,0x0003,6,1,11,-53,,,,,,,
03:45:51.734,DATA,0x0003,0x0003,7,1,17,-48,,,,,,,
03:45:53.779,DATA,0x0003,0x0003,8,1,19,-47,,,,,,,
03:45:55.510,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:45:55.845,DATA,0x0003,0x0003,9,1,12,-47,,,,,,,
03:45:57.991,DATA,0x0003,0x0003,10,1,18,-52,,,,,,,
03:46:00.137,DATA,0x0003,0x0003,11,1,20,-52,,,,,,,
03:46:02.209,DATA,0x0003,0x0003,12,1,15,-52,,,,,,,
03:46:04.216,DATA,0x0003,0x0003,13,1,20,-47,,,,,,,
03:46:06.282,DATA,0x0003,0x0003,14,1,14,-47,,,,,,,
03:46:08.367,DATA,0x0003,0x0003,15,1,19,-47,,,,,,,
03:46:09.217,DATA,0x0004,0x0003,1,2,72,-52,,,,,,,
03:46:10.552,DATA,0x0003,0x0003,16,1,21,-47,,,,,,,
03:46:11.331,DATA,0x0004,0x0003,2,2,70,-52,,,,,,,
03:46:12.659,DATA,0x0003,0x0003,17,1,41,-48,,,,,,,
03:46:13.387,DATA,0x0004,0x0003,3,2,74,-52,,,,,,,
03:46:14.671,DATA,0x0003,0x0003,18,1,22,-52,,,,,,,
03:46:15.522,DATA,0x0004,0x0003,4,2,81,-49,,,,,,,
03:46:16.318,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:46:16.765,DATA,0x0003,0x0003,19,1,21,-47,,,,,,,
03:46:17.666,DATA,0x0004,0x0003,5,2,80,-53,,,,,,,
03:46:18.849,DATA,0x0003,0x0003,20,1,11,-48,,,,,,,
03:46:19.689,DATA,0x0004,0x0003,6,2,92,-52,,,,,,,
03:46:20.909,DATA,0x0003,0x0003,21,1,19,-47,,,,,,,
03:46:21.729,DATA,0x0004,0x0003,7,2,76,-52,,,,,,,
03:46:23.083,DATA,0x0003,0x0003,22,1,19,-48,,,,,,,
03:46:23.811,DATA,0x0004,0x0003,8,2,74,-49,,,,,,,
03:46:25.259,DATA,0x0003,0x0003,23,1,82,-48,,,,,,,
03:46:25.835,DATA,0x0004,0x0003,9,2,86,-52,,,,,,,
03:46:27.321,DATA,0x0003,0x0003,24,1,21,-48,,,,,,,
03:46:27.849,DATA,0x0004,0x0003,10,2,66,-53,,,,,,,
03:46:29.340,DATA,0x0003,0x0003,25,1,10,-53,,,,,,,
03:46:29.968,DATA,0x0004,0x0003,11,2,105,-53,,,,,,,
03:46:31.496,DATA,0x0003,0x0003,26,1,44,-53,,,,,,,
03:46:32.043,DATA,0x0004,0x0003,12,2,80,-49,,,,,,,
03:46:33.602,DATA,0x0003,0x0003,27,1,20,-47,,,,,,,
03:46:34.159,DATA,0x0004,0x0003,13,2,71,-53,,,,,,,
03:46:35.657,DATA,0x0003,0x0003,28,1,19,-47,,,,,,,
03:46:36.255,DATA,0x0004,0x0003,14,2,77,-52,,,,,,,
03:46:37.018,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:46:37.688,DATA,0x0003,0x0003,29,1,14,-48,,,,,,,
03:46:38.437,DATA,0x0004,0x0003,15,2,81,-52,,,,,,,
03:46:39.713,DATA,0x0003,0x0003,30,1,16,-47,,,,,,,
03:46:40.503,DATA,0x0004,0x0003,16,2,103,-52,,,,,,,
03:46:41.828,DATA,0x0003,0x0003,31,1,18,-52,,,,,,,
03:46:42.642,DATA,0x0004,0x0003,17,2,98,-52,,,,,,,
03:46:43.977,DATA,0x0003,0x0003,32,1,40,-48,,,,,,,
03:46:44.777,DATA,0x0004,0x0003,18,2,86,-49,,,,,,,
03:46:46.165,DATA,0x0003,0x0003,33,1,16,-52,,,,,,,
