Timestamp,Origin,Grad,Parent,Neighbor,RSSI,Link_UP(s),Drop_Count,Fwd_Count,Drop_Rate(%),Pin(%),Routing_Cost
2026-03-18 07:16:34,"=""0006""",1,"=""0002""","=""0007""",-62,1086,0,16,0.0,97.9,12.68
2026-03-18 07:16:34,"=""000B""",4,"=""000C""","=""0009""",-57,870,0,11,0.0,99.2,45.5
2026-03-18 07:16:34,"=""0015""",1,"=""0002""","=""0005""",-53,187,0,12,0.0,99.8,63.62
2026-03-18 07:16:34,"=""000A""",3,"=""000E""","=""000B""",-51,876,0,11,0.0,99.1,35.39
2026-03-18 07:16:34,"=""0005""",1,"=""0002""","=""0012""",-60,361,0,26,0.0,97.9,40.02
2026-03-18 07:16:34,"=""0007""",2,"=""0006""","=""0008""",-66,1040,0,11,0.0,98.1,23.12
2026-03-18 07:16:34,"=""000C""",3,"=""000E""","=""000B""",-45,826,0,17,0.0,99.1,36.37
2026-03-18 07:16:34,"=""0014""",1,"=""0002""","=""0008""",-72,177,0,46,0.0,99.5,70.43
2026-03-18 07:16:34,"=""0003""",1,"=""0002""","=""0004""",-70,67,0,10,0.0,98.7,89.98
2026-03-18 07:16:34,"=""000F""",2,"=""0014""","=""0008""",-60,40,0,42,0.0,99.5,107.52
2026-03-18 07:16:34,"=""0008""",3,"=""0007""","=""000C""",-66,87,0,13,0.0,99.1,104.83
2026-03-18 07:16:34,"=""0004""",2,"=""0005""","=""0011""",-55,392,0,12,0.0,99.5,47.07
2026-03-18 07:16:34,"=""0012""",3,"=""0013""","=""0011""",-48,392,0,13,0.0,99.6,57.07
2026-03-18 07:16:34,"=""0011""",3,"=""0013""","=""0012""",-47,366,0,15,0.0,99.7,59.52
2026-03-18 07:16:34,"=""0009""",3,"=""0007""","=""000B""",-52,871,0,11,0.0,98.8,35.48
2026-03-18 07:16:34,"=""000E""",2,"=""0005""","=""000C""",-60,657,0,73,0.0,99.0,31.19
2026-03-18 07:17:34,"=""0004""",2,"=""0005""","=""0011""",-55,452,0,11,0.0,99.5,42.16
2026-03-18 07:17:34,"=""0009""",3,"=""0007""","=""000B""",-58,931,0,10,0.0,98.8,34.49
2026-03-18 07:17:34,"=""0003""",1,"=""0002""","=""0004""",-71,127,0,10,0.0,98.7,77.99
2026-03-18 07:17:34,"=""000A""",3,"=""000E""","=""000B""",-53,936,0,10,0.0,99.0,34.42
2026-03-18 07:17:34,"=""0008""",3,"=""0007""","=""0009""",-60,1030,0,11,0.0,99.0,33.23
2026-03-18 07:17:34,"=""0005""",1,"=""0002""","=""0012""",-59,421,0,43,0.0,97.6,34.58
2026-03-18 07:17:34,"=""0011""",3,"=""0010""","=""0012""",-49,426,0,13,0.0,99.7,54.17
2026-03-18 07:17:34,"=""0015""",1,"=""0002""","=""0005""",-59,247,0,12,0.0,99.7,53.9
2026-03-18 07:17:34,"=""0013""",2,"=""0005""","=""0011""",-55,407,0,22,0.0,99.6,45.75
2026-03-18 07:17:34,"=""000C""",3,"=""000E""","=""000B""",-50,886,0,18,0.0,99.1,35.22
2026-03-18 07:17:34,"=""000E""",2,"=""0005""","=""000A""",-63,656,0,25,0.0,98.8,31.23
2026-03-18 07:17:34,"=""0012""",3,"=""0013""","=""0011""",-50,452,0,11,0.0,99.6,52.16
